# name,data point type (MP;SP),data point number,acl (r-;-w;rw),dtype (BOOL;INT;FLOAT),min,max
Temp. Aussen,MP,0,r-,FLOAT,-20.0,40.0
Temp. Aussen verzoegert,MP,1,r-,FLOAT,-20.0,40.0
Temp. Brauchwasser,MP,2,r-,FLOAT,0.0,70.0
Temp. Vorlauf,MP,3,r-,FLOAT,0.0,70.0
Temp. Ruecklauf,MP,4,r-,FLOAT,0.0,70.0
Temp. Pufferspeicher,MP,5,r-,FLOAT,0.0,70.0
Temp. EQ_Eintritt,MP,6,r-,FLOAT,-20.0,30.0
Temp. EQ_Austritt,MP,7,r-,FLOAT,-20.0,30.0
Temp. Verdichterfuss,MP,8,r-,FLOAT,-20.0,70.0
Temp. Sauggas,MP,9,r-,FLOAT,-20.0,30.0
TF 22,MP,10,r-,FLOAT,-8.0,8.0
Temp. Frischwasser_Istwert,MP,11,r-,FLOAT,0.0,70.0
Temp. Verdampfung,MP,12,r-,FLOAT,-50.0,30.0
Temp. Kondensation,MP,13,r-,FLOAT,-50.0,60.0
Temp. KM_Unterkuehlung,MP,14,r-,FLOAT,0.0,60.0
Temp. Heissgas,MP,15,r-,FLOAT,0.0,150.0
Temp. Raumfuehler1,MP,16,r-,FLOAT,0.0,60.0
Temp. Raumfuehler2,MP,17,r-,FLOAT,0.0,60.0
Temp. Raumfuehler3,MP,18,r-,FLOAT,0.0,60.0
Temp. Raumfuehler4,MP,19,r-,FLOAT,0.0,60.0
Niederdruck (bar),MP,20,r-,FLOAT,0.0,18.0
Hochdruck (bar),MP,21,r-,FLOAT,0.0,40.0
Heizkreispumpe,MP,22,r-,BOOL,0,1
Pufferladepumpe,MP,23,r-,BOOL,0,1
EQ Pumpe (Ventilator),MP,24,r-,BOOL,0,1
Warmwasservorrang,MP,25,r-,BOOL,0,1
Carterheizung,MP,26,r-,BOOL,0,1
Kuehlen UmV Passiv,MP,27,r-,BOOL,0,1
Externe Pumpe,MP,28,r-,BOOL,0,1
Zirkulationspumpe WW,MP,29,r-,BOOL,0,1
Verdichter,MP,30,r-,BOOL,0,1
Stoerung,MP,31,r-,BOOL,0,1
Vierwegeventil Luft,MP,32,r-,BOOL,0,1
Hochdruckschalter,MP,33,r-,BOOL,0,1
EQ Motorschutz,MP,34,r-,BOOL,0,1
Externe Anforderung,MP,35,r-,BOOL,0,1
Hauptschalter,MP,36,r-,BOOL,0,1
EVU_Sperre,MP,37,r-,BOOL,0,1
FWS Stroemungsschalter,MP,38,r-,BOOL,0,1
EQ Druckwaechter,MP,39,r-,BOOL,0,1
ModStatus,MP,40,r-,INT,0,7
BSZ Verdichter Schaltungen,MP,41,r-,INT,0,100000
DIP_SW,MP,42,r-,INT,0,255
Solar KT1,MP,43,r-,FLOAT,-30.0,120.0
Ausheizstatus,MP,44,r-,INT,0,3
Solar_Pumpe WW,MP,45,r-,BOOL,0,1
Solar_Pumpe Puffer,MP,46,r-,BOOL,0,1
